,block,street_name,latitude,longitude
336,324,CLEMENTI AVE 5,1.31513509080723,103.766054474051
337,307,CLEMENTI AVE 4,,
338,461,CLEMENTI AVE 3,,
339,723,CLEMENTI WEST ST 2,,
340,724,CLEMENTI WEST ST 2,,
341,46,CIRCUIT RD,,
342,43,CIRCUIT RD,,
343,30,BALAM RD,,
344,21,BALAM RD,,
345,22,BALAM RD,1.33016619500294,103.887785274744
346,47,CIRCUIT RD,,
347,67,CIRCUIT RD,,
348,82,MACPHERSON LANE,,
349,37,CIRCUIT RD,,
350,24,BALAM RD,,
351,65,CIRCUIT RD,,
352,49,CIRCUIT RD,,
353,24,EUNOS CRES,1.32377995139071,103.902330351336
354,302,UBI AVE 1,,
355,4,HAIG RD,,
356,95,OLD AIRPORT RD,,
357,36,CIRCUIT RD,,
358,10,HAIG RD,,
359,128,GEYLANG EAST AVE 1,,
360,33,EUNOS CRES,,
361,344,UBI AVE 1,,
362,40,SIMS DR,,
363,54,PIPIT RD,,
364,42,SIMS DR,,
365,42,CIRCUIT RD,,
366,120,GEYLANG EAST CTRL,,
367,5,HAIG RD,,
368,134,GEYLANG EAST AVE 1,,
369,411,EUNOS RD 5,,
370,30,CASSIA CRES,,
371,986A,BUANGKOK CRES,,
372,22,HOUGANG AVE 3,,
373,644,HOUGANG AVE 8,,
374,24,HOUGANG AVE 3,,
375,108,HOUGANG AVE 1,,
376,619,HOUGANG AVE 8,,
377,623,HOUGANG AVE 8,,
378,311,HOUGANG AVE 5,,
379,501,HOUGANG AVE 8,,
380,698,HOUGANG ST 61,,
381,307,HOUGANG AVE 5,,
382,21,HOUGANG AVE 3,,
383,322,HOUGANG AVE 5,,
384,308,HOUGANG AVE 5,,
385,154,HOUGANG ST 11,,
386,339,HOUGANG AVE 7,,
387,681,HOUGANG AVE 8,,
388,314,HOUGANG AVE 5,,
389,336,HOUGANG AVE 7,,
390,321,HOUGANG AVE 5,,
391,602,HOUGANG AVE 4,,
392,709,HOUGANG AVE 2,,
393,674,HOUGANG AVE 8,,
394,165,HOUGANG AVE 1,,
395,332,HOUGANG AVE 5,,
396,135,LOR AH SOO,,
397,419,HOUGANG AVE 8,,
398,938,HOUGANG ST 92,,
399,435,HOUGANG AVE 8,,
400,699B,HOUGANG ST 52,,
401,155,HOUGANG ST 11,,
402,445,HOUGANG AVE 8,,
403,617,HOUGANG AVE 8,,
404,411,HOUGANG AVE 10,,
405,448,HOUGANG AVE 10,,
406,142,LOR AH SOO,,
407,557,HOUGANG ST 51,,
408,465,UPP SERANGOON RD,,
409,835,HOUGANG CTRL,,
410,922,HOUGANG ST 91,,
411,912,HOUGANG ST 91,,
412,971,HOUGANG ST 91,,
413,941,HOUGANG ST 92,,
414,984D,BUANGKOK LINK,,
415,978D,BUANGKOK CRES,,
416,572,HOUGANG ST 51,,
417,915,HOUGANG ST 91,,
418,570,HOUGANG ST 51,,
419,919,HOUGANG AVE 4,,
420,610,HOUGANG AVE 8,,
421,958,HOUGANG ST 91,,
422,929,HOUGANG ST 91,,
423,456,HOUGANG AVE 10,,
424,171,HOUGANG AVE 1,,
425,136,LOR AH SOO,,
426,466,HOUGANG AVE 8,,
427,372,HOUGANG ST 31,,
428,461,HOUGANG AVE 10,,
429,940,HOUGANG ST 92,,
430,538,HOUGANG ST 52,,
431,628,HOUGANG AVE 8,,
432,407,HOUGANG AVE 10,,
433,705,HOUGANG AVE 2,,
434,410,PANDAN GDNS,,
435,37,TEBAN GDNS RD,,
436,247,JURONG EAST ST 24,,
437,250,JURONG EAST ST 24,,
438,231,JURONG EAST ST 21,,
439,330,JURONG EAST AVE 1,,
440,264,JURONG EAST ST 24,,
441,411,PANDAN GDNS,,
442,253,JURONG EAST ST 24,,
443,207,JURONG EAST ST 21,,
444,115,JURONG EAST ST 13,,
445,101,JURONG EAST ST 13,,
446,211,JURONG EAST ST 21,,
447,339,JURONG EAST AVE 1,,
448,62,TEBAN GDNS RD,,
449,311,JURONG EAST ST 32,,
450,112,JURONG EAST ST 13,,
451,283,TOH GUAN RD,,
452,310,JURONG EAST ST 32,,
453,329,JURONG EAST AVE 1,,
454,312,JURONG EAST ST 32,,
455,22,TEBAN GDNS RD,,
456,265,TOH GUAN RD,,
457,272,TOH GUAN RD,,
458,268,TOH GUAN RD,,
459,288E,JURONG EAST ST 21,,
460,307,JURONG EAST ST 32,1.34652151786552,103.734843138868
461,405,PANDAN GDNS,,
462,111,JURONG EAST ST 13,,
463,314,JURONG EAST ST 32,,
464,227,JURONG EAST ST 21,,
465,45,TEBAN GDNS RD,,
466,990A,JURONG WEST ST 93,,
467,990B,JURONG WEST ST 93,,
468,185,BOON LAY AVE,,
469,119,HO CHING RD,,
470,174,BOON LAY DR,,
471,113,TAO CHING RD,,
472,176,BOON LAY DR,,
473,120,HO CHING RD,,
474,914,JURONG WEST ST 91,,
475,421,JURONG WEST ST 42,,
476,908,JURONG WEST ST 91,,
477,915,JURONG WEST ST 91,,
478,926,JURONG WEST ST 92,,
479,211,BOON LAY PL,,
480,517,JURONG WEST ST 52,,
481,337A,TAH CHING RD,,
482,530,JURONG WEST ST 52,,
483,518,JURONG WEST ST 52,,
484,511,JURONG WEST ST 52,,
485,514,JURONG WEST ST 52,,
486,524,JURONG WEST ST 52,,
487,813,JURONG WEST ST 81,,
488,178,YUNG SHENG RD,,
489,854,JURONG WEST ST 81,,
490,276A,JURONG WEST ST 25,,
491,733,JURONG WEST ST 73,,
492,730,JURONG WEST ST 72,,
493,273B,JURONG WEST AVE 3,,
494,936,JURONG WEST ST 91,,
495,844,JURONG WEST ST 81,,
496,720,JURONG WEST AVE 5,,
497,750,JURONG WEST ST 73,,
498,848,JURONG WEST ST 81,,
499,943,JURONG WEST ST 91,,
500,153,YUNG HO RD,,
501,833,JURONG WEST ST 81,,
502,545,JURONG WEST ST 42,,
503,950,JURONG WEST ST 91,,
504,747,JURONG WEST ST 73,,
505,179,YUNG SHENG RD,,
506,756,JURONG WEST ST 74,,
507,406,JURONG WEST ST 42,,
508,430,JURONG WEST AVE 1,,
509,713,JURONG WEST ST 71,,
510,259,BOON LAY DR,,
511,450,JURONG WEST ST 42,,
512,722,JURONG WEST AVE 5,,
513,540,JURONG WEST AVE 1,,
514,452,JURONG WEST ST 42,,
515,648D,JURONG WEST ST 61,,
516,988A,JURONG WEST ST 93,,
